Price,Close,High,Low,Open,Volume
Ticker,2330.TW,2330.TW,2330.TW,2330.TW,2330.TW
Date,,,,,
2025-01-02,1060.0592041015625,1070.012811651812,1050.105596551313,1065.0360078766873,43177098
2025-01-03,1070.0128173828125,1079.9664249863736,1070.0128173828125,1074.989621184593,30415096
2025-01-06,1119.7808837890625,1119.7808837890625,1089.920060221354,1094.8968641493054,69289786
2025-01-07,1124.7576904296875,1154.6185140694138,1124.7576904296875,1144.664906189505,48758688
2025-01-08,1099.8736572265625,1124.7576766208285,1099.8736572265625,1104.8504611054157,45211419
2025-01-09,1094.8968505859375,1109.8272621848366,1094.8968505859375,1094.8968505859375,27263215
2025-01-10,1094.8968505859375,1104.850458318537,1094.8968505859375,1094.8968505859375,22021522
2025-01-13,1070.0128173828125,1109.8272477970568,1065.036013581032,1104.8504439952762,56690300
2025-01-14,1084.9432373046875,1084.9432373046875,1070.012825782146,1079.9664334638403,28695247
2025-01-15,1060.0592041015625,1079.9664192020614,1060.0592041015625,1079.9664192020614,35489482
2025-01-16,1099.8736572265625,1109.8272649842688,1084.9432455900028,1089.920049468856,47542962
2025-01-17,1114.8040771484375,1119.7808810642787,1089.9200575692312,1119.7808810642787,59214050
2025-01-20,1114.8040771484375,1129.7344888959612,1114.8040771484375,1119.7808810642787,29834528
2025-01-21,1114.8040771484375,1119.7808810642787,1104.850469316755,1109.827273232596,21904213
2025-01-22,1129.7344970703125,1144.6649089258674,1129.7344970703125,1134.7113010221642,42960405
2025-02-03,1065.0360107421875,1070.0128145307024,1055.0824031651578,1060.0592069536726,97946226
2025-02-04,1089.9200439453125,1094.896847798944,1074.9896323844177,1079.9664362380495,53308108
2025-02-05,1104.8504638671875,1114.8040716497749,1099.8736599758938,1104.8504638671875,40385340
2025-02-06,1109.8272705078125,1114.804074411435,1099.8736627005676,1114.804074411435,29971252
2025-02-07,1119.7808837890625,1119.7808837890625,1099.873668077257,1104.8504720052083,27883220
2025-02-10,1099.8736572265625,1119.7808727419754,1089.920049468856,1119.7808727419754,28527108
2025-02-11,1104.8504638671875,1109.8272677584812,1094.8968560846001,1104.8504638671875,18898928
2025-02-12,1094.8968505859375,1109.8272621848366,1094.8968505859375,1104.850458318537,24172954
2025-02-13,1084.9432373046875,1089.9200411455347,1074.989629622993,1084.9432373046875,33210403
2025-02-14,1055.0823974609375,1065.0360049841538,1055.0823974609375,1060.0592012225457,64486940
2025-02-17,1079.9664306640625,1079.9664306640625,1060.0592153522825,1060.0592153522825,35491271
2025-02-18,1094.8968505859375,1094.8968505859375,1074.9896351207387,1079.9664389870384,21616188
2025-02-19,1084.9432373046875,1089.9200411455347,1079.9664334638403,1084.9432373046875,26400293
2025-02-20,1074.9896240234375,1079.966427838361,1065.036016393591,1074.9896240234375,29643124
2025-02-21,1089.9200439453125,1089.9200439453125,1074.9896323844177,1079.9664362380495,28972910
2025-02-24,1070.0128173828125,1079.9664249863736,1070.0128173828125,1074.989621184593,30822970
2025-02-25,1050.1055908203125,1055.082394568276,1045.1287870723488,1050.1055908203125,45158522
2025-02-26,1055.0823974609375,1055.0823974609375,1040.1519861761128,1040.1519861761128,36768449
2025-02-27,1035.1751708984375,1060.05918942965,1035.1751708984375,1060.05918942965,55283596
2025-03-03,1015.2680053710938,1015.2680053710938,995.3607895795037,995.3607895795037,65621663
2025-03-04,995.3607788085938,1005.3143865966797,991.3793356933594,991.3793356933594,64569262
2025-03-05,1015.2680053710938,1025.2216132668889,1010.2912014231963,1015.2680053710938,41994320
2025-03-06,1000.3375854492188,1020.244801080049,1000.3375854492188,1015.2679971723414,45187017
2025-03-07,1000.3375854492188,1005.3143893569263,995.3607815415112,1000.3375854492188,40822280
2025-03-10,993.3700561523438,1000.337581596298,987.3978914860971,1000.337581596298,46849886
2025-03-11,966.4953002929688,974.4581863921899,958.5324141937476,964.5045787681635,50204233
2025-03-12,983.4164428710938,990.383968276051,971.4721136054529,975.4535566939999,34184887
2025-03-13,960.523193359375,1000.3376262447377,960.523193359375,995.3608221340673,37035693
2025-03-14,954.551025390625,964.5046335803083,950.5695821147517,960.5231903044349,34333748
2025-03-17,965.4999389648438,980.4303503921352,963.5092174412049,972.4674642975798,31491061
2025-03-18,971.0,978.0,968.0,976.0,21575327
2025-03-19,952.0,967.0,950.0,965.0,35245036
2025-03-20,985.0,985.0,971.0,978.0,28715956
2025-03-21,972.0,987.0,970.0,985.0,39214916
2025-03-24,972.0,987.0,972.0,986.0,16121506
2025-03-25,990.0,995.0,985.0,989.0,26167428
2025-03-26,980.0,995.0,980.0,995.0,21735917
2025-03-27,958.0,964.0,958.0,961.0,34563256
2025-03-28,952.0,955.0,946.0,946.0,33101234
